,severity_proba
445,0.004017179
448,0.41736808
449,0.011867925
450,0.019872831
453,0.022113405
454,0.004060811
455,0.20441452
456,0.008316026
458,0.0026652846
459,0.0026446609
460,0.012887959
461,0.14999121
463,0.022713924
464,0.028491763
465,0.49861953
467,0.0017416999
468,0.01442118
469,0.34339213
470,0.0025599394
471,0.010586805
472,0.0043436005
473,0.014504452
474,0.010524933
475,0.0017459797
476,0.013447307
477,0.0021585678
479,0.12877105
480,0.017256623
481,0.0024076952
482,0.21079431
483,0.076842174
484,0.017860454
486,0.0024076928
487,0.0040096245
488,0.016713182
490,0.004608104
491,0.00096036657
493,0.0072008884
494,0.24399443
495,0.15234321
496,0.5492149
497,0.14251542
498,0.060837425
499,0.10564449
500,0.004232088
501,0.53863424
502,0.040218428
503,0.014531598
504,0.007293937
505,0.11309255
506,0.012701457
507,0.0021600856
508,0.0027657186
510,0.023768894
511,0.53872955
512,0.007473192
513,0.087676086
514,0.010079461
519,0.42641327
520,0.0027498088
521,0.011043324
524,0.013048623
525,0.13724655
526,0.22745813
527,0.008856412
528,0.004692899
529,0.009138457
530,0.004999179
531,0.0066686473
532,0.0112024965
533,0.007082213
534,0.0056372723
535,0.0030382785
536,0.008440166
537,0.008251244
538,0.0064448873
539,0.005572493
540,0.03491974
542,0.007891921
544,0.00449077
545,0.0061676945
547,0.0014959147
548,0.0017162112
549,0.002717366
550,0.008186555
551,0.0075505283
552,0.011268019
554,0.0041410946
555,0.011624231
556,0.0052208165
557,0.003170188
558,0.0035202121
559,0.008562086
560,0.020064427
561,0.004784947
562,0.00903229
563,0.0086429315
566,0.5170119
567,0.06216826
568,0.0035594127
569,0.003965672
571,0.047311787
572,0.27195466
573,0.00650762
574,0.0033883774
575,0.0055255843
577,0.006804875
578,0.005539729
579,0.11008906
580,0.0085046785
581,0.013128399
583,0.0012397086
584,0.10891316
586,0.0023322417
587,0.0027746179
588,0.03125722
589,0.0011031843
590,0.0027753357
591,0.01030707
593,0.035050895
594,0.39358968
595,0.0041008405
596,0.002785095
597,0.022347173
598,0.0016414579
599,0.0033685137
600,0.15967162
601,0.0043748384
602,0.39294133
603,0.0076481756
605,0.51013863
606,0.018626617
607,0.026322136
608,0.28698575
609,0.12565498
610,0.006441941
611,0.0113277165
612,0.033346538
613,0.33255577
614,0.6225233
615,0.02115055
616,0.5177241
617,0.5772402
618,0.34351233
619,0.18854737
620,0.74549687
621,0.7594005
622,0.012498972
623,0.013622834
624,0.0008582073
625,0.15095203
626,0.030055195
627,0.0015346835
628,0.0019523888
629,0.035978757
630,0.00569298
632,0.012852097
633,0.0053006904
634,0.029376265
635,0.0026797836
637,0.0023718702
638,0.00602664
639,0.0025882341
640,0.0038954332
644,0.012754617
645,0.002584277
647,0.0028410438
653,0.0018811857
654,0.0051201694
656,0.0068918406
657,0.036474105
658,0.00209174
659,0.0030897935
660,0.0020305503
663,0.0010794696
664,0.0011890811
665,0.0052587045
668,0.0018305411
671,0.00249338
672,0.0128767425
673,0.00239862
676,0.0020419532
677,0.0010994709
679,0.014335071
680,0.002756659
681,0.028020652
682,0.09805407
687,0.0018879737
688,0.0084922705
689,0.004564397
690,0.0022921744
692,0.009280942
693,0.0009425482
695,0.002956597
697,0.002296193
698,0.021666711
699,0.0065281535
700,0.071083166
701,0.0058168536
702,0.014822169
703,0.15416464
704,0.0053473227
705,0.025070375
706,0.0635705
707,0.010748125
710,0.16110578
711,0.16603148
712,0.022287881
715,0.0013141674
716,0.0021303133
717,0.0012444503
718,0.010133673
719,0.003668542
720,0.0061506224
721,0.0020507681
722,0.008085504
723,0.009988336
724,0.14836477
725,0.002928086
726,0.0019308663
727,0.0021200702
728,0.0020754435
729,0.008033424
730,0.012495223
731,0.001206541
732,0.0046816138
733,0.0034667382
734,0.02436491
736,0.012274259
738,0.0015178944
739,0.003507573
741,0.004089246
743,0.0025088512
745,0.004486031
747,0.01282233
749,0.007713167
750,0.34058875
752,0.0034727908
753,0.018532448
754,0.046963073
755,0.0005083701
756,0.0020453047
757,0.083644524
758,0.029338509
760,0.6249703
761,0.023039311
762,0.11133439
763,0.28349265
764,0.008641727
765,0.06479872
766,0.0033887716
767,0.033582095
768,0.028895728
769,0.0070264353
770,0.04956038
771,0.0016482453
773,0.013436824
774,0.015285627
775,0.0011913406
776,0.050385386
777,0.027770752
778,0.00306936
779,0.0014763662
780,0.006773972
781,0.17713277
782,0.0012270223
783,0.15117313
784,0.53298205
785,0.31932503
786,0.011009291
787,0.0008854323
788,0.0075993147
790,0.43055424
791,0.10080586
792,0.0016673696
793,0.1363507
795,0.040077697
796,0.0021944281
798,0.6245161
800,0.0044791875
801,0.16922261
802,0.19218297
805,0.029193925
806,0.013321029
807,0.006769418
808,0.09009596
809,0.010270589
810,0.3402551
811,0.22221267
814,0.03765686
815,0.019059218
816,0.0091888225
817,0.10387726
819,0.15297125
820,0.008666502
821,0.01815781
823,0.09836611
824,0.0033732045
825,0.0020686307
826,0.004450748
827,0.005626001
829,0.11067658
830,0.021357588
833,0.013710057
834,0.052679434
835,0.009719734
837,0.0028401208
838,0.0016664513
839,0.0037454027
840,0.00074539613
841,0.046567664
843,0.019891119
844,0.0013669365
845,0.003313087
848,0.0010189149
850,0.0035614967
851,0.009731347
852,0.0073156036
853,0.011616754
854,0.003647425
855,0.28441978
857,0.0019752628
859,0.02542936
861,0.17252558
862,0.16095275
863,0.011002104
864,0.001207441
865,0.07727974
867,0.16836803
869,0.008417429
870,0.012284506
871,0.23614623
872,0.0023852466
873,0.03288825
874,0.008012842
876,0.013081794
878,0.002324088
879,0.0033814232
